Timestamp,Timezone Offset,775.maxbotix-mb7386-distance
31/10/2019 20:03,+01:00,2036
31/10/2019 20:13,+01:00,2035
31/10/2019 20:23,+01:00,2031
31/10/2019 20:33,+01:00,2030
31/10/2019 20:43,+01:00,2043
31/10/2019 20:53,+01:00,2035
31/10/2019 21:03,+01:00,2028
31/10/2019 21:13,+01:00,2031
31/10/2019 21:23,+01:00,2022
31/10/2019 21:33,+01:00,2037
31/10/2019 21:43,+01:00,2036
31/10/2019 21:53,+01:00,2036
31/10/2019 22:03,+01:00,2029
31/10/2019 22:13,+01:00,2032
31/10/2019 22:23,+01:00,2033
31/10/2019 22:33,+01:00,2031
31/10/2019 22:43,+01:00,2029
31/10/2019 22:53,+01:00,2039
31/10/2019 23:03,+01:00,2029
31/10/2019 23:13,+01:00,2032
31/10/2019 23:23,+01:00,2026
31/10/2019 23:33,+01:00,2028
31/10/2019 23:43,+01:00,2021
31/10/2019 23:53,+01:00,2024
01/11/2019 00:03,+01:00,2023
01/11/2019 00:13,+01:00,2023
01/11/2019 00:23,+01:00,2023
01/11/2019 00:33,+01:00,2023
01/11/2019 00:43,+01:00,2021
01/11/2019 00:53,+01:00,2017
01/11/2019 01:03,+01:00,2014
01/11/2019 01:13,+01:00,2010
01/11/2019 01:23,+01:00,2024
01/11/2019 01:33,+01:00,2010
01/11/2019 01:43,+01:00,2010
01/11/2019 01:53,+01:00,2010
01/11/2019 02:03,+01:00,2007
01/11/2019 02:13,+01:00,2004
01/11/2019 02:23,+01:00,2010
01/11/2019 02:33,+01:00,2005
01/11/2019 02:43,+01:00,2008
01/11/2019 02:53,+01:00,2006
01/11/2019 03:03,+01:00,2005
01/11/2019 03:13,+01:00,2007
01/11/2019 03:23,+01:00,2008
01/11/2019 03:33,+01:00,2001
01/11/2019 03:43,+01:00,2007
01/11/2019 03:53,+01:00,2001
01/11/2019 04:03,+01:00,2005
01/11/2019 04:13,+01:00,2004
01/11/2019 04:23,+01:00,2000
01/11/2019 04:33,+01:00,2004
01/11/2019 04:43,+01:00,2004
01/11/2019 04:53,+01:00,2009
01/11/2019 05:03,+01:00,2004
01/11/2019 05:13,+01:00,2000
01/11/2019 05:23,+01:00,2001
01/11/2019 05:33,+01:00,2008
01/11/2019 05:43,+01:00,2007
01/11/2019 05:53,+01:00,2005
01/11/2019 06:03,+01:00,2007
01/11/2019 06:13,+01:00,2009
01/11/2019 06:23,+01:00,2003
01/11/2019 06:33,+01:00,2004
01/11/2019 06:43,+01:00,2010
01/11/2019 06:53,+01:00,2003
01/11/2019 07:03,+01:00,2010
01/11/2019 07:13,+01:00,2004
01/11/2019 07:23,+01:00,2002
01/11/2019 07:33,+01:00,2003
01/11/2019 07:43,+01:00,2009
01/11/2019 07:53,+01:00,2008
01/11/2019 08:03,+01:00,2002
01/11/2019 08:13,+01:00,2003
01/11/2019 08:23,+01:00,2002
01/11/2019 08:33,+01:00,2009
01/11/2019 08:43,+01:00,2001
01/11/2019 08:53,+01:00,2003
01/11/2019 09:03,+01:00,2010
01/11/2019 09:13,+01:00,2004
01/11/2019 09:23,+01:00,2007
01/11/2019 09:33,+01:00,2001
01/11/2019 09:43,+01:00,2013
01/11/2019 09:53,+01:00,2002
01/11/2019 10:03,+01:00,2002
01/11/2019 10:13,+01:00,2000
01/11/2019 10:23,+01:00,1992
01/11/2019 10:33,+01:00,1994
01/11/2019 10:43,+01:00,1996
01/11/2019 10:53,+01:00,1991
01/11/2019 11:03,+01:00,1990
01/11/2019 11:13,+01:00,1993
01/11/2019 11:23,+01:00,1987
01/11/2019 11:33,+01:00,1982
01/11/2019 11:43,+01:00,1977
01/11/2019 11:53,+01:00,1976
01/11/2019 12:03,+01:00,1972
01/11/2019 12:13,+01:00,1975
01/11/2019 12:23,+01:00,1975
01/11/2019 12:33,+01:00,1968
01/11/2019 12:43,+01:00,1965
01/11/2019 12:53,+01:00,1960
01/11/2019 13:03,+01:00,1961
01/11/2019 13:13,+01:00,1962
01/11/2019 13:23,+01:00,1959
01/11/2019 13:33,+01:00,1959
01/11/2019 13:43,+01:00,1959
01/11/2019 13:53,+01:00,1956
01/11/2019 14:03,+01:00,1955
01/11/2019 14:13,+01:00,1958
01/11/2019 14:23,+01:00,1953
01/11/2019 14:33,+01:00,1955
01/11/2019 14:43,+01:00,1949
01/11/2019 14:53,+01:00,1949
01/11/2019 15:03,+01:00,1942
01/11/2019 15:13,+01:00,1941
01/11/2019 15:23,+01:00,1928
01/11/2019 15:43,+01:00,1912
01/11/2019 15:53,+01:00,1900
01/11/2019 16:03,+01:00,1894
01/11/2019 16:13,+01:00,1872
01/11/2019 16:23,+01:00,1867
01/11/2019 16:33,+01:00,1843
01/11/2019 16:43,+01:00,1808
01/11/2019 16:53,+01:00,1767
01/11/2019 17:03,+01:00,1753
01/11/2019 17:13,+01:00,1752
01/11/2019 17:23,+01:00,1730
01/11/2019 17:33,+01:00,1732
01/11/2019 17:43,+01:00,1719
01/11/2019 17:53,+01:00,1717
01/11/2019 18:03,+01:00,1720
01/11/2019 18:13,+01:00,1723
01/11/2019 18:23,+01:00,1739
01/11/2019 18:33,+01:00,1733
01/11/2019 18:43,+01:00,1721
01/11/2019 18:53,+01:00,1739
01/11/2019 19:03,+01:00,1740
01/11/2019 19:13,+01:00,1756
01/11/2019 19:23,+01:00,1762
01/11/2019 19:33,+01:00,1765
01/11/2019 19:43,+01:00,1763
01/11/2019 19:53,+01:00,1768
01/11/2019 20:03,+01:00,1762
01/11/2019 20:13,+01:00,1775
01/11/2019 20:23,+01:00,1780
01/11/2019 20:33,+01:00,1788
01/11/2019 20:43,+01:00,1796
01/11/2019 20:53,+01:00,1793
01/11/2019 21:03,+01:00,1818
01/11/2019 21:13,+01:00,1808
01/11/2019 21:23,+01:00,1813
01/11/2019 21:33,+01:00,1809
01/11/2019 21:43,+01:00,1823
01/11/2019 21:53,+01:00,1830
01/11/2019 22:03,+01:00,1835
01/11/2019 22:13,+01:00,1837
01/11/2019 22:23,+01:00,1833
01/11/2019 22:33,+01:00,1854
01/11/2019 22:43,+01:00,1854
01/11/2019 22:53,+01:00,1851
01/11/2019 23:03,+01:00,1861
01/11/2019 23:13,+01:00,1861
01/11/2019 23:23,+01:00,1856
01/11/2019 23:33,+01:00,1863
01/11/2019 23:43,+01:00,1871
01/11/2019 23:53,+01:00,1870
02/11/2019 00:03,+01:00,1877
02/11/2019 00:13,+01:00,1882
02/11/2019 00:23,+01:00,1879
02/11/2019 00:33,+01:00,1884
02/11/2019 00:43,+01:00,1885
02/11/2019 00:53,+01:00,1881
02/11/2019 01:03,+01:00,1889
02/11/2019 01:13,+01:00,1891
02/11/2019 01:23,+01:00,1892
02/11/2019 01:33,+01:00,1892
02/11/2019 01:43,+01:00,1895
02/11/2019 01:53,+01:00,1894
02/11/2019 02:03,+01:00,1896
02/11/2019 02:13,+01:00,1901
02/11/2019 02:23,+01:00,1910
02/11/2019 02:43,+01:00,1906
02/11/2019 02:53,+01:00,1911
02/11/2019 03:03,+01:00,1909
02/11/2019 03:13,+01:00,1913
